level_0,index,0,min_chars,max_chars,strategy,task,model_name,source
0,p,0.47273074693916256,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-0613,
1,r,0.40367797977668196,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-0613,
2,f1,0.43577654499652957,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-0613,
0,p,0.4779427607256667,2000,30000,chunked,demographics-zeroshot,firefunction-v1,
1,r,0.4212154015562588,2000,30000,chunked,demographics-zeroshot,firefunction-v1,
2,f1,0.4467612245029077,2000,30000,chunked,demographics-zeroshot,firefunction-v1,
0,p,0.5279110670089722,2000,30000,chunked,demographics-zeroshot,firefunction-v2,
1,r,0.4428408145904541,2000,30000,chunked,demographics-zeroshot,firefunction-v2,
2,f1,0.48346224427223206,2000,30000,chunked,demographics-zeroshot,firefunction-v2,
0,p,0.5252494812011719,2000,30000,chunked,demographics-zeroshot,gpt-4o-mini-2024-07-18,
1,r,0.4833963919376981,2000,30000,chunked,demographics-zeroshot,gpt-4o-mini-2024-07-18,
2,f1,0.5024067422618037,2000,30000,chunked,demographics-zeroshot,gpt-4o-mini-2024-07-18,
0,p,0.639541691747205,2000,30000,chunked,demographics-zeroshot,gpt-4-0125-preview,
1,r,0.6186690494931978,2000,30000,chunked,demographics-zeroshot,gpt-4-0125-preview,
2,f1,0.6269766051193764,2000,30000,chunked,demographics-zeroshot,gpt-4-0125-preview,
0,p,0.4866060870034354,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-0125,
1,r,0.39541145733424593,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-0125,
2,f1,0.43702687535967144,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-0125,
0,p,0.7145364159031918,40,body,chunked,demographics-zeroshot,gpt-4-0125-preview,
1,r,0.7089716760735763,40,body,chunked,demographics-zeroshot,gpt-4-0125-preview,
2,f1,0.7098713925010279,40,body,chunked,demographics-zeroshot,gpt-4-0125-preview,
0,p,0.5514658903464292,40,4000,chunked,demographics-zeroshot,gpt-4-0125-preview,
1,r,0.4952540275378105,40,4000,chunked,demographics-zeroshot,gpt-4-0125-preview,
2,f1,0.5219371991279798,40,4000,chunked,demographics-zeroshot,gpt-4-0125-preview,
0,p,0.4771206979533188,40,4000,chunked,demographics-zeroshot,gpt-4o-mini-2024-07-18,
1,r,0.4416606408039122,40,4000,chunked,demographics-zeroshot,gpt-4o-mini-2024-07-18,
2,f1,0.45615174388157503,40,4000,chunked,demographics-zeroshot,gpt-4o-mini-2024-07-18,
0,p,0.4662458973546182,40,4000,chunked,demographics-zeroshot,firefunction-v1,
1,r,0.39193119541291266,40,4000,chunked,demographics-zeroshot,firefunction-v1,
2,f1,0.42537015484225366,40,4000,chunked,demographics-zeroshot,firefunction-v1,
0,p,0.4954600652058919,40,4000,chunked,demographics-zeroshot,gpt-4o-2024-05-13,
1,r,0.4478913307189941,40,4000,chunked,demographics-zeroshot,gpt-4o-2024-05-13,
2,f1,0.4692511240641276,40,4000,chunked,demographics-zeroshot,gpt-4o-2024-05-13,
0,p,0.48244589346426503,2000,30000,chunked,demographics-zeroshot,gpt-3.5-turbo-1106,
1,r,0.4174605475531684,2000,30000,chunked,demographics-zeroshot,gpt-3.5-turbo-1106,
2,f1,0.4481831303349248,2000,30000,chunked,demographics-zeroshot,gpt-3.5-turbo-1106,
0,p,0.48058568050986844,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-1106,
1,r,0.4221965990568462,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-1106,
2,f1,0.4488296910336143,40,4000,chunked,demographics-zeroshot,gpt-3.5-turbo-1106,
0,p,0.46772070664625903,40,4000,chunked,demographics-zeroshot,firefunction-v2,
1,r,0.3791125664344201,40,4000,chunked,demographics-zeroshot,firefunction-v2,
2,f1,0.421232663668119,40,4000,chunked,demographics-zeroshot,firefunction-v2,
0,p,0.5345826686773085,2000,30000,chunked,demographics-zeroshot,gpt-4o-2024-05-13,
1,r,0.5066414166213875,2000,30000,chunked,demographics-zeroshot,gpt-4o-2024-05-13,
2,f1,0.5176839613376704,2000,30000,chunked,demographics-zeroshot,gpt-4o-2024-05-13,
0,p,0.7118034062423105,40,4000,chunked,demographics-zeroshot,claude-3.5-sonnet,
1,r,0.7756902739757628,40,4000,chunked,demographics-zeroshot,claude-3.5-sonnet,
2,f1,0.7399767778051181,40,4000,chunked,demographics-zeroshot,claude-3.5-sonnet,
0,p,0.6870900006361411,,,full,demographics-zeroshot,gpt-4o-2024-05-13,md
1,r,0.7025675169179137,,,full,demographics-zeroshot,gpt-4o-2024-05-13,md
2,f1,0.6914108706192231,,,full,demographics-zeroshot,gpt-4o-2024-05-13,md
0,p,0.69505122010137,,,full,demographics-zeroshot,gpt-4o-mini-2024-07-18,md
1,r,0.6754524875694597,,,full,demographics-zeroshot,gpt-4o-mini-2024-07-18,md
2,f1,0.6830543732978929,,,full,demographics-zeroshot,gpt-4o-mini-2024-07-18,md
0,p,0.4665261126579122,,,full,demographics-zeroshot-ftstrict,gpt-4o-2024-05-13,md
1,r,0.4860614208464927,,,full,demographics-zeroshot-ftstrict,gpt-4o-2024-05-13,md
2,f1,0.4719660332862367,,,full,demographics-zeroshot-ftstrict,gpt-4o-2024-05-13,md
0,p,0.5243316972759408,,,full,demographics-zeroshot-ftstrict,gpt-4o-mini-2024-07-18,md
1,r,0.6513938366527289,,,full,demographics-zeroshot-ftstrict,gpt-4o-mini-2024-07-18,md
2,f1,0.5819260503204775,,,full,demographics-zeroshot-ftstrict,gpt-4o-mini-2024-07-18,md
0,p,0.6554379670516305,,,full,demographics-zeroshot,gpt-4o-mini-2024-07-18,html
1,r,0.6521088973335598,,,full,demographics-zeroshot,gpt-4o-mini-2024-07-18,html
2,f1,0.6512258225593014,,,full,demographics-zeroshot,gpt-4o-mini-2024-07-18,html
